[2024-09-15 13:53:30] INFO: Decoder - load message.
[2024-09-15 13:53:30] INFO: Decoder - berlekamp massey algo'.
[2024-09-15 13:53:30] INFO: Decoder - compute discrepancy n times.
[2024-09-15 13:53:30] INFO: Decoder - cheain sreach
[2024-09-15 13:53:30] INFO: Decoder - forney algorithm.
Decoding block number 16
[2024-09-15 13:53:30] INFO: Decoder: decoding...
[2024-09-15 13:53:30] INFO: Decoder - load message.
[2024-09-15 13:53:30] INFO: Decoder - berlekamp massey algo'.
[2024-09-15 13:53:30] INFO: Decoder - compute discrepancy n times.
[2024-09-15 13:53:30] INFO: Decoder - cheain sreach
[2024-09-15 13:53:30] ERROR: File Decoder::process_complete_block(): Error during decoding of block 16
Decoding block number 17
[2024-09-15 13:53:30] INFO: Decoder: decoding...
[2024-09-15 13:53:30] INFO: Decoder - load message.
[2024-09-15 13:53:30] INFO: Decoder - berlekamp massey algo'.
[2024-09-15 13:53:30] INFO: Decoder - compute discrepancy n times.
[2024-09-15 13:53:30] INFO: Decoder - cheain sreach
[2024-09-15 13:53:30] INFO: Decoder - forney algorithm.
Decoding block number 18
[2024-09-15 13:53:30] INFO: Decoder: decoding...
[2024-09-15 13:53:30] INFO: Decoder - load message.
[2024-09-15 13:53:30] INFO: Decoder - berlekamp massey algo'.
[2024-09-15 13:53:30] INFO: Decoder - compute discrepancy n times.
[2024-09-15 13:53:30] INFO: Decoder - cheain sreach
[2024-09-15 13:53:30] ERROR: Decode: Decode failed!
[2024-09-15 13:53:30] ERROR: File Decoder::process_complete_block(): Error during decoding of block 18
Decoding block number 19
[2024-09-15 13:53:30] INFO: Decoder: decoding...
[2024-09-15 13:53:30] INFO: Decoder - load message.
[2024-09-15 13:53:30] INFO: Decoder - berlekamp massey algo'.
[2024-09-15 13:53:30] INFO: Decoder - compute discrepancy n times.
[2024-09-15 13:53:30] INFO: Decoder - cheain sreach
[2024-09-15 13:53:30] INFO: Decoder - forney algorithm.
Decoding block number 20
[2024-09-15 13:53:30] INFO: Decoder: decoding...
[2024-09-15 13:53:30] INFO: Decoder - load message.
[2024-09-15 13:53:30] INFO: Decoder - berlekamp massey algo'.
[2024-09-15 13:53:30] INFO: Decoder - compute discrepancy n times.
[2024-09-15 13:53:30] INFO: Decoder - cheain sreach
[2024-09-15 13:53:30] ERROR: File Decoder::process_complete_block(): Error during decoding of block 20
Decoding block number 21
[2024-09-15 13:53:30] INFO: Decoder: decoding...
[2024-09-15 13:53:30] INFO: Decoder - load message.
[2024-09-15 13:53:30] INFO: Decoder - berlekamp massey algo'.
[2024-09-15 13:53:30] INFO: Decoder - compute discrepancy n times.
[2024-09-15 13:53:30] INFO: Decoder - cheain sreach
[2024-09-15 13:53:30] INFO: Decoder - forney algorithm.
Decoding block number 22
[2024-09-15 13:53:30] INFO: Decoder: decoding...
[2024-09-15 13:53:30] INFO: Decoder - load message.
[2024-09-15 13:53:30] INFO: Decoder - berlekamp massey algo'.
[2024-09-15 13:53:30] INFO: Decoder - compute discrepancy n times.
[2024-09-15 13:53:30] INFO: Decoder - cheain sreach
[2024-09-15 13:53:30] ERROR: File Decoder::process_complete_block(): Error during decoding of block 22
Decoding block number 23
[2024-09-15 13:53:30] INFO: Decoder: decoding...
[2024-09-15 13:53:30] INFO: Decoder - load message.
[2024-09-15 13:53:30] INFO: Decoder - berlekamp massey algo'.
